,Year,ResEVSEDLCSwch,ResHPWHDLCSwch,ResHPWHDLCGrd
0,2022.0,1.464372257543317,1.8267059310147922,0.09614241742183123
1,2023.0,1.8569835249169935,1.7669861665186049,0.21839154867083876
2,2024.0,0.37802473386611934,0.2718253676718869,0.05567507530629068
3,2025.0,2.1500038296874884,1.188403673776846,0.3549777207385383
4,2026.0,4.267990100595264,1.8319188108182387,0.7482485283623794
5,2027.0,-4.277505167101326,-1.432459637070429,-0.9255893039532004
6,2028.0,-7.686663331818516,-2.0135630190482674,-1.9589579202266214
7,2029.0,-7.333356132506096,-1.49843389049333,-2.126079784247141
8,2030.0,-9.664117712882906,-1.5309570343487096,-3.107517044188655
9,2031.0,-0.42404404704124943,-0.051536386497267106,-0.14832423430920727
10,2032.0,-17.832719167589282,-1.6355210921175467,-6.074792627865173
11,2033.0,7.9105282819446,0.5335075658548851,2.612347391427373
12,2034.0,-0.9084921349180757,-0.04333098152115744,-0.29012918061992554
13,2035.0,-6.885064164508712,-0.2172293071706075,-2.1211802935482886
14,2036.0,-1.419831169022288,-0.035475529796491045,-0.4020560043602286
15,2037.0,2.8282013421934487,0.0636842993040535,0.7217553921126001
16,2038.0,19.92061824809327,0.40551263318540276,4.595809842767899
17,2039.0,-13.494567357512,-0.24906661528098706,-2.8227549731845176
18,2040.0,-9.14503314354068,-0.15346643744723118,-1.7392862910686184
19,2041.0,-40.709647531864164,-0.6230309240819281,-7.061017139595186
