Year,DVR,IndRTP,ResCPP,ComCPP,IndCPP
2022.0,529.237472716768,5.64953694129745,246.5525261877849,107.90244752273006,99.95103070366281
2023.0,988.3181631362556,10.66967246355415,459.73783790549226,201.3464611202972,189.0258873855283
2024.0,1117.289893482884,7.492784794746651,522.1787263693566,225.63868858535142,214.8159799693706
2025.0,1332.5632304072537,8.512674241884213,626.5454248215457,266.6840742986687,256.5890114904491
2026.0,1347.3491946007814,3.7766989103952486,625.1215856775664,273.49601780792943,264.4518673855867
2027.0,1582.5488133268996,3.985350791684834,624.0457134715059,262.06136598771934,251.09258760705382
2028.0,1655.6087976923745,-10.356420880409706,562.9202420329848,232.6560616986544,226.19798818361681
2029.0,1608.273930704077,-5.966225543662232,472.0504855598575,200.8725972407811,195.16572918619843
2030.0,2321.77189139635,-3.0555716072670966,598.4048007797539,261.64844603323786,252.09751651045255
2031.0,2611.785395692048,-4.232009179844791,611.8840579481608,262.0599111469759,251.27907300796988
2032.0,2313.627441860148,-7.014138236547162,550.4626609366023,228.21426218583485,217.21328126471352
2033.0,2415.478532218388,-4.872988983965165,565.6833818585567,242.490719220961,231.3867066108951
2034.0,1977.30523536773,1.705170414291724,468.14059038301747,196.57517752650114,183.9836041916666
2035.0,2146.8674198161193,-0.23120408587480767,514.242850033445,210.5797175837125,195.91137360103903
2036.0,2427.2171166564476,-1.3225555634558201,574.5739431929601,241.81036026824955,222.49165866562026
2037.0,2072.301026082228,-0.8896290779706808,482.78761579276136,209.98467342499742,194.4698833838421
2038.0,1837.162788810366,4.857976400960868,431.6152222303701,184.56048160291522,169.49210140824383
2039.0,2243.5071554782976,0.07660840516869794,518.7753141956923,229.78326366702487,208.86120509038378
2040.0,1169.636511711934,1.908715210936988,273.2942637831564,118.57267157084027,106.4573305768233
2041.0,1701.2208580040146,-2.0399264324669204,395.2062845301067,173.99520592031814,153.63137637039773
